LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID11889,11889,8,14.35493278503418,284.74097120311353,112.85451855083042,0.0,40322.220774,60,7.5,1,,18246.204270051934,18267.0,16758.0,19665.0,3.1620672E7,579.6865650305396,35365.35949221004,34554.0,27920.0,43765.0,6.1288168E7,3249.905288283868,0.035226404429851844,2.1421124699277168,0.036216728848772105,0.7606694780049162
ID12401,12401,8,13.097968101501465,281.730873684222,110.25931649641588,0.0,47714.627915900004,71,7.5,1,,18007.418926716677,18041.0,16789.0,19154.0,3.1206857E7,450.89407963550394,34711.380842469705,34773.0,29164.0,39655.0,6.0154823E7,1945.8972728992273,0.03268959746735561,2.5284053546729828,0.021476219331838922,0.7500868418177759
ID13427,13427,8,14.190410614013672,285.3888293231567,110.75753256415823,0.0,69219.8123287,103,7.5,1,,17786.06347374495,17459.0,16116.0,20386.0,3.0823248E7,1003.5034964220828,40071.70109636468,38829.0,21836.0,56021.0,6.9444258E7,8076.488279654115,0.030657776980268656,1.0544284602164118,0.11535295671659718,1.0262699570432408
ID10357,10357,8,11.989121437072754,287.572143389708,114.13015747013148,0.0,8736.4811677,13,7.5,1,,18489.985574148875,18537.0,17162.0,19336.0,3.2043145E7,388.1426405022645,35054.89555683785,35369.0,30775.0,38654.0,6.0750134E7,1588.5215449182995,0.028000076912993537,2.5950234644386723,0.031091528555255047,1.3308540139386669
ID13943,13943,8,14.315587997436523,284.2803798856848,110.65170454041181,0.0,79300.3675222,118,7.5,1,,17565.353144835546,17199.0,15835.0,20133.0,3.0440757E7,1019.2805504740529,40612.38488170802,39418.0,22185.0,58397.0,7.0381263E7,7937.860445318726,0.031567980173005265,1.0547319111996452,0.11516533791101684,1.0567385572409775
ID11132,11132,8,18.657329559326172,286.2664706677523,114.99947281895963,0.0,26209.443503100003,39,7.5,1,,18782.65781881131,18456.0,16859.0,22661.0,3.2550346E7,1199.9868816850699,38843.13098672822,37242.0,26724.0,55047.0,6.7315146E7,6868.355967217838,0.042057147504315336,1.263452214078013,0.0968351308525509,0.9985803627080844
ID12924,12924,8,14.008232116699219,285.9221065750688,109.99348876125867,0.0,62499.4421997,93,7.5,1,,17910.3987305251,17576.0,16245.0,20646.0,3.1038721E7,1031.4828334615504,39852.006347374496,38455.0,21293.0,55597.0,6.9063527E7,7565.447476761148,0.02989684257217594,1.0081028520150515,0.11674688351476073,1.1013772791529977
ID10623,10623,8,13.593802452087402,289.034918994669,116.63147538319876,0.0,13440.740258000002,20,7.5,1,,18727.051356030006,18692.0,17208.0,20784.0,3.245398E7,633.0233598777173,35743.21869590306,35116.0,28856.0,43407.0,6.1942998E7,3025.2087914997846,0.03393820308599269,1.9421104370736166,0.04138713179283762,0.9391207216683204
ID12159,12159,8,13.386054992675781,282.85984452376135,110.52803054398932,0.0,45698.5168772,68,7.5,1,,18068.684939411425,18122.0,16799.0,19160.0,3.1313031E7,480.9362392962593,35049.57934218119,34941.0,28932.0,40570.0,6.0740921E7,2533.5147445664475,0.03378765657839288,2.455815673290699,0.027267108308922584,0.7344209718963438
ID11648,11648,8,14.308574676513672,283.68720504489653,116.40835810097563,0.0,35617.9616837,53,7.5,1,,18367.776687824582,18322.0,16934.0,19931.0,3.1831357E7,625.6067939296714,35883.71321407963,35934.0,28918.0,44278.0,6.2186475E7,3244.147380885658,0.03376947568952596,1.9181640320377462,0.044588921515931,0.9442964334335815
ID13184,13184,8,14.08311939239502,284.9706745040514,110.6580187356653,0.0,65187.590251300004,97,7.5,1,,17856.508944027697,17505.0,16163.0,20619.0,3.094533E7,1027.7827333935866,40039.32544720139,38892.0,21925.0,56112.0,6.9388151E7,7757.972445679733,0.030307130425804404,1.0221234366050373,0.1174133855198293,1.0846066337745388
ID11396,11396,8,17.188257217407227,283.35641694295566,117.33850289612896,0.0,29569.6285676,44,7.5,1,,18632.86381996538,18323.0,16905.0,21892.0,3.2290753E7,1097.7005937201313,36648.68667051356,37199.0,20277.0,51314.0,6.3512174E7,7372.650025838749,0.03722733268954023,1.2184667269609049,0.056988623205524426,0.5360220372430049
ID12678,12678,8,17.101757049560547,282.40535613553993,114.11490793941498,0.0,57123.1460965,85,7.5,1,,18732.464512406234,18667.0,16843.0,21370.0,3.2463361E7,921.1039456415292,36168.85631852279,33538.0,21097.0,57517.0,6.2680628E7,9256.697709284665,0.04661104408790052,1.8114226321527436,0.06942654403817593,0.5073215121660547
ID9866,9866,8,10.808762550354004,289.4323383434829,114.8298372660464,0.0,3360.1850645000004,5,7.5,1,,18374.60703981535,18439.0,16902.0,19309.0,3.1843194E7,416.1914388090429,34665.5666474322,34940.0,29226.0,38466.0,6.0075427E7,1740.5049477615905,0.023076179051743067,1.9916400022157708,0.042595780102356526,1.627434995698852
ID10123,10123,8,11.137742042541504,290.78379160475646,112.9045804498338,0.0,0.0,0,7.5,1,,18376.333525678016,18460.0,16786.0,19372.0,3.1846186E7,489.4651056205985,34624.25043277553,35219.0,28875.0,39170.0,6.0003826E7,2135.8825746239145,0.02301236016922366,1.689069056897573,0.04654879345655345,1.4420554179475313
ID13709,13709,8,14.144723892211914,285.35666928065234,110.6502883696814,0.0,75940.18245770001,113,7.5,1,,17614.2833237161,17291.0,16082.0,20098.0,3.0525553E7,987.494948649066,40772.98095787651,39508.0,21799.0,58515.0,7.0659576E7,8182.530326641263,0.030767706823720643,1.0648646625178317,0.11820351576182152,1.0534753475857732
ID10898,10898,8,20.51151466369629,282.5436664330703,116.73477761605314,0.0,24193.332464400002,36,7.5,1,,18994.63935372187,18419.0,17080.0,22371.0,3.291771E7,1375.237540597742,34159.15118291979,33356.0,24796.0,51577.0,5.9197809E7,5105.736020255972,0.04639466406692198,1.2247736854283129,0.008915409725383464,0.11824022860307108
ID11922,11922,8,14.45003890991211,283.68658406380223,112.52555144208934,0.0,40994.2577869,61,7.5,1,,18239.548759376805,18251.0,16727.0,19868.0,3.1609138E7,577.1510168615639,35493.33179457588,34641.0,29240.0,43698.0,6.1509944E7,3084.1280955605093,0.035689510124336576,2.1780388878478316,0.036390276259446616,0.8081768012822697
