,Cutoff Frequency,Prominance,R_Square,Normal_rate,Normal,Falsepos,Missing
61,0.2,12,0.9995002044573655,0.6779661016949152,40,17,2
62,0.2,13,0.9995002044573655,0.6896551724137931,40,16,2
63,0.2,14,0.9995002044573655,0.7142857142857143,40,14,2
64,0.2,15,0.9995002044573655,0.7272727272727273,40,13,2
65,0.2,16,0.9995002044573655,0.7547169811320755,40,11,2
66,0.2,17,0.999481287665743,0.75,39,10,3
67,0.2,18,0.999481287665743,0.75,39,10,3
68,0.2,19,0.999481287665743,0.75,39,10,3
69,0.2,20,0.999481287665743,0.75,39,10,3
70,0.2,21,0.999481287665743,0.75,39,10,3
71,0.2,22,0.999481287665743,0.75,39,10,3
72,0.2,23,0.999481287665743,0.7647058823529411,39,9,3
73,0.2,24,0.999481287665743,0.78,39,8,3
74,0.2,25,0.999481287665743,0.78,39,8,3
75,0.2,26,0.999481287665743,0.78,39,8,3
76,0.2,27,0.999481287665743,0.78,39,8,3
77,0.2,28,0.999481287665743,0.78,39,8,3
78,0.2,29,0.999481287665743,0.78,39,8,3
79,0.2,30,0.999481287665743,0.7959183673469388,39,7,3
80,0.2,31,0.9994845008460325,0.7755102040816326,38,7,4
81,0.2,32,0.9994845008460325,0.7755102040816326,38,7,4
82,0.2,33,0.9994845008460325,0.7916666666666666,38,6,4
83,0.2,34,0.9994845008460325,0.8085106382978723,38,5,4
84,0.2,35,0.9994845008460325,0.8085106382978723,38,5,4
85,0.2,36,0.9994845008460325,0.8085106382978723,38,5,4
86,0.2,37,0.9994845008460325,0.8085106382978723,38,5,4
87,0.2,38,0.99948592800698,0.7872340425531915,37,5,5
88,0.2,39,0.99948592800698,0.7872340425531915,37,5,5
89,0.2,40,0.9994866888660107,0.7659574468085106,36,5,6
90,0.2,41,0.9994866888660107,0.7659574468085106,36,5,6
91,0.2,42,0.9994866888660107,0.7659574468085106,36,5,6
92,0.2,43,0.9994866888660107,0.782608695652174,36,4,6
93,0.2,44,0.999460826019837,0.7608695652173914,35,4,7
94,0.2,45,0.999460826019837,0.7608695652173914,35,4,7
95,0.2,46,0.999460826019837,0.7608695652173914,35,4,7
96,0.2,47,0.999460826019837,0.7608695652173914,35,4,7
97,0.2,48,0.999460826019837,0.7608695652173914,35,4,7
98,0.2,49,0.999460826019837,0.7608695652173914,35,4,7
99,0.2,50,0.999460826019837,0.7777777777777778,35,3,7
100,0.3,1,0.9976983226689642,0.26666666666666666,40,108,2
101,0.3,2,0.9976983226689642,0.31496062992125984,40,85,2
102,0.3,3,0.9976983226689642,0.35714285714285715,40,70,2
103,0.3,4,0.9976983226689642,0.38095238095238093,40,63,2
104,0.3,5,0.9976983226689642,0.4,40,58,2
105,0.3,6,0.9976983226689642,0.449438202247191,40,47,2
106,0.3,7,0.9976983226689642,0.47058823529411764,40,43,2
107,0.3,8,0.9976983226689642,0.5194805194805194,40,35,2
108,0.3,9,0.9976983226689642,0.5263157894736842,40,34,2
109,0.3,10,0.9976983226689642,0.5633802816901409,40,29,2
110,0.3,11,0.9976983226689642,0.5970149253731343,40,25,2
111,0.3,12,0.9976983226689642,0.6451612903225806,40,20,2
112,0.3,13,0.9976983226689642,0.6666666666666666,40,18,2
113,0.3,14,0.9976983226689642,0.6666666666666666,40,18,2
114,0.3,15,0.9976983226689642,0.7142857142857143,40,14,2
115,0.3,16,0.9976983226689642,0.7272727272727273,40,13,2
116,0.3,17,0.9976983226689642,0.7272727272727273,40,13,2
117,0.3,18,0.9976983226689642,0.7272727272727273,40,13,2
118,0.3,19,0.9976983226689642,0.7547169811320755,40,11,2
119,0.3,20,0.9976983226689642,0.7692307692307693,40,10,2
120,0.3,21,0.9976983226689642,0.7692307692307693,40,10,2
121,0.3,22,0.9976983226689642,0.7692307692307693,40,10,2
122,0.3,23,0.9976983226689642,0.7843137254901961,40,9,2
123,0.3,24,0.9976983226689642,0.8,40,8,2
124,0.3,25,0.9976983226689642,0.8,40,8,2
125,0.3,26,0.9976983226689642,0.8,40,8,2
126,0.3,27,0.9975704147183148,0.78,39,8,3
127,0.3,28,0.9975704147183148,0.78,39,8,3
128,0.3,29,0.9975704147183148,0.7959183673469388,39,7,3
129,0.3,30,0.9975704147183148,0.7959183673469388,39,7,3
130,0.3,31,0.9975704147183148,0.7959183673469388,39,7,3
131,0.3,32,0.9975704147183148,0.7959183673469388,39,7,3
132,0.3,33,0.9975704147183148,0.8125,39,6,3
133,0.3,34,0.9975704147183148,0.8125,39,6,3
134,0.3,35,0.9975704147183148,0.8297872340425532,39,5,3
135,0.3,36,0.9975077707574874,0.7872340425531915,37,5,5
136,0.3,37,0.9975077707574874,0.7872340425531915,37,5,5
137,0.3,38,0.9975077707574874,0.7872340425531915,37,5,5
138,0.3,39,0.9975077707574874,0.7872340425531915,37,5,5
139,0.3,40,0.9975077707574874,0.7872340425531915,37,5,5
140,0.3,41,0.9974240289762882,0.7659574468085106,36,5,6
141,0.3,42,0.9974240289762882,0.7659574468085106,36,5,6
142,0.3,43,0.9972929808208816,0.7446808510638298,35,5,7
143,0.3,44,0.9972929808208816,0.7446808510638298,35,5,7
144,0.3,45,0.9972929808208816,0.7446808510638298,35,5,7
145,0.3,46,0.9972929808208816,0.7446808510638298,35,5,7
146,0.3,47,0.9972929808208816,0.7608695652173914,35,4,7
147,0.3,48,0.9972929808208816,0.7608695652173914,35,4,7
148,0.3,49,0.9972929808208816,0.7608695652173914,35,4,7
149,0.3,50,0.9972929808208816,0.7608695652173914,35,4,7
150,0.4,1,0.9977596725874173,0.2684563758389262,40,107,2
151,0.4,2,0.9977596725874173,0.2962962962962963,40,93,2
152,0.4,3,0.9977596725874173,0.32786885245901637,40,80,2
153,0.4,4,0.9977596725874173,0.3669724770642202,40,67,2
154,0.4,5,0.9977596725874173,0.40816326530612246,40,56,2
155,0.4,6,0.9977596725874173,0.45977011494252873,40,45,2
156,0.4,7,0.9977596725874173,0.4819277108433735,40,41,2
157,0.4,8,0.9977596725874173,0.5333333333333333,40,33,2
158,0.4,9,0.9977596725874173,0.5555555555555556,40,30,2
159,0.4,10,0.9977596725874173,0.5633802816901409,40,29,2
160,0.4,11,0.9977596725874173,0.6060606060606061,40,24,2
161,0.4,12,0.9977596725874173,0.6349206349206349,40,21,2
162,0.4,13,0.9977596725874173,0.6666666666666666,40,18,2
163,0.4,14,0.9977596725874173,0.7017543859649122,40,15,2
164,0.4,15,0.9977596725874173,0.7142857142857143,40,14,2
165,0.4,16,0.9977596725874173,0.7272727272727273,40,13,2
166,0.4,17,0.9977596725874173,0.7272727272727273,40,13,2
167,0.4,18,0.9977596725874173,0.7272727272727273,40,13,2
168,0.4,19,0.9977596725874173,0.7407407407407407,40,12,2
169,0.4,20,0.9977596725874173,0.7407407407407407,40,12,2
170,0.4,21,0.9977596725874173,0.7407407407407407,40,12,2
171,0.4,22,0.9977596725874173,0.7547169811320755,40,11,2
172,0.4,23,0.9977596725874173,0.7547169811320755,40,11,2
173,0.4,24,0.9977596725874173,0.8,40,8,2
174,0.4,25,0.9977596725874173,0.8,40,8,2
175,0.4,26,0.9977596725874173,0.8,40,8,2
176,0.4,27,0.9976342378340748,0.78,39,8,3
