LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID17633,17633,12,16.46700096130371,211.20531839938292,401.95569933054605,0.0,17472.9623354,26,7.5,1,,19717.96076168494,19765.0,18068.0,21030.0,3.4171226E7,531.4683662510084,0.04268812833348203,3.0378565240631703
ID18914,18914,12,16.86514663696289,219.2380415136711,350.40394906134975,0.0,56451.1090836,84,7.5,1,,19587.508366993654,19365.0,17624.0,22254.0,3.3945152E7,1108.7313951793203,0.03430011718928792,1.1717416714099156
ID18659,18659,12,27.07758903503418,221.2255038355258,348.6387196379249,0.0,46370.5538901,69,7.5,1,,20513.021350259667,20060.0,17889.0,25697.0,3.5549066E7,1740.719901347732,0.06571442202220065,1.4532843026845315
ID17381,17381,12,15.858406066894531,155.41682378295928,405.1681143267959,0.0,4704.2590903,7,7.5,1,,19531.075591459896,19567.0,17786.0,21161.0,3.3847354E7,522.7632154107222,0.04051641469023023,2.909599461719654
ID19431,19431,12,13.741618156433105,214.16810378720535,335.47751809442644,0.0,71235.9233674,106,7.5,1,,18381.30986728217,18408.0,17024.0,19905.0,3.185481E7,645.7761297972969,0.030402690918638547,1.6796914218823895
ID18408,18408,12,14.22260856628418,217.14484975903704,334.0675438461736,0.0,38306.1097353,57,7.5,1,,19430.87247547605,19421.0,18467.0,20327.0,3.3673702E7,320.2246332096418,0.03694957846876977,4.324335780270388
ID18153,18153,12,16.08669662475586,223.39679261480322,343.2268374423613,0.0,30913.7025934,46,7.5,1,,19726.21061742643,19746.0,18077.0,20977.0,3.4185523E7,446.2086643347371,0.04246223597735798,3.601456642180818
ID19178,19178,12,12.44289493560791,219.919303467517,346.12460913852135,0.0,62499.4421997,93,7.5,1,,18812.572994806695,18833.0,17174.0,20302.0,3.2602189E7,607.7824427374157,0.02511450077937688,1.5166389886462928
ID19693,19693,12,13.232803344726562,212.0688211376411,332.7935627927434,0.0,77284.25648350001,115,7.5,1,,18263.288517022505,18322.0,16903.0,19585.0,3.1650279E7,573.644417618267,0.030178680748602315,1.8653223624287125
ID17907,17907,12,19.91775131225586,217.01038244450694,385.9490064052281,0.0,23521.295451500002,35,7.5,1,,20374.47778418927,20582.0,17952.0,22402.0,3.530897E7,978.4980496931437,0.04916082839296441,1.95134312474686
