LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID68182,68182,164,68.94824981689453,183.29082698928187,657.9147714290185,0.0,19246.3454816,32,7.5,1,,15809.012117714945,15355.0,7883.0,25779.0,2.7397018E7,4688.695799543983,0.3593140752890769,1.7825309830851521
ID68694,68694,164,73.10429382324219,189.73210642900204,664.9025320230087,0.0,19847.793777900002,33,7.5,1,,16158.830929024813,15571.0,8277.0,26161.0,2.8003254E7,4777.715170966745,0.3809774168763183,1.8660889172535542
ID67160,67160,164,53.30153274536133,186.91580937377282,660.9295023457548,0.0,15036.207407500002,25,7.5,1,,14433.451240623197,14753.0,8023.0,20296.0,2.5013171E7,3012.2830330317774,0.3113108013028725,2.275060552710009
ID67674,67674,164,59.39158630371094,186.75882928822662,662.0194060210517,0.0,16840.5522964,28,7.5,1,,15200.9422965955,15852.0,8075.0,22619.0,2.6343233E7,3445.163257496277,0.3395159087119762,2.2366753538016564
ID71394,71394,164,61.811302185058594,187.7255347473933,657.9212046656181,0.0,32478.2080002,54,7.5,1,,15833.396999422966,16462.0,9552.0,22299.0,2.7439277E7,2950.0187239457846,0.3566386111438867,2.8219122897075724
ID74466,74466,164,85.81916046142578,185.28136570590874,658.7511560745754,0.0,37289.7943706,62,7.5,1,,16695.82458165032,14654.0,7194.0,33602.0,2.8933864E7,6861.166639678148,0.37472476526903636,1.3265894562872802
ID70885,70885,164,74.03008270263672,190.5552674938095,658.5228751767119,0.0,27666.6216298,46,7.5,1,,16658.29601846509,16333.0,7289.0,24937.0,2.8868827E7,4310.33540334662,0.38574303333603593,2.151616632062501
ID73957,73957,164,90.80027770996094,196.7208350948506,658.528934332238,0.0,40297.0358521,67,7.5,1,,15373.763993075592,11057.0,6493.0,47782.0,2.6642733E7,9967.294096635162,0.34645710312603584,0.7937612263175883
ID71908,71908,164,68.00444030761719,187.76837843745807,661.5693839068796,0.0,30673.8631113,51,7.5,1,,16355.40219272937,17227.0,9517.0,22450.0,2.8343912E7,3311.4841802639457,0.38256526479858377,2.733307123230476
ID72420,72420,164,58.824825286865234,182.8807000395171,657.7447318553751,0.0,33681.1045928,56,7.5,1,,15666.740334679746,16311.0,8757.0,20188.0,2.7150461E7,2716.2069696637636,0.34546578366311853,2.9619530044364484
ID73444,73444,164,95.90514373779297,191.69150618634552,653.3598697551012,0.0,39094.1392595,65,7.5,1,,16264.527409117138,12814.0,6739.0,40613.0,2.8186426E7,8818.845435563955,0.39363932912027194,1.0418562528612259
ID70379,70379,164,88.22174072265625,180.30448445683373,659.630968792259,0.0,26463.7250372,44,7.5,1,,17001.653779572996,14558.0,7222.0,34441.0,2.9463866E7,7744.214821768396,0.40341150092983324,1.2621385047605087
ID72938,72938,164,73.46743774414062,189.29864064385447,662.6611201185714,0.0,35485.4494817,59,7.5,1,,16098.097518753606,15882.0,7464.0,26405.0,2.7898003E7,5011.939734373578,0.3717290643235458,1.7408321042376176
